
#Calculated Body Volumes
#Body Name, Volume
CROSS_SLIDE_R, 24621882.539744
BEARY_TOP_CROSS_2, 5248.511039
BEARY_TOP_CROSS_3, 5243.518398
BEARY_TOP_CROSS_1, 5248.511039
BEARY_TOP_CROSS, 5243.518398
BEARY_SIDE_CROSS_1, 3334.503680
BEARY_SIDE_CROSS, 3334.503680
GIB_UNDER_FRONT, 197893.966330
BEARY_UNDER_FRONT, 2018.410769
BEARY_UNDER_FRONT_1, 2362.500000
BEARY_UNDER_FRONT_2, 2018.139133
GIB_UNDER_REAR, 147845.769432
BRARY_UNDER_REAR, 2228.909260
BRARY_UNDER_REAR_1, 2227.225747
GIB_SIDE, 53867.858521
BEARY_SIDE_GIB, 2019.003240
GIB_SIDE_1, 53879.343803
BEARY_SIDE_GIB_1, 2025.403869
GUIDE_ARM_PAD, 54788.026078
BEARY_GUIDE_ARM, 2231.131883
GUIDE_ARM_GIB, 56079.249840
BEARY_GUIDE_ARM_1, 2231.522512
SQUARE_RING, 404864.802494
FLANGE_L, 541796.954568
FLANGE, 528633.446510
FRONT_CAP, 574039.323328
Z_AXIS_MOTOR_SOLID, 4735926.034613
HOUSING_Z_MOTOR, 1710135.882100
Z_BS_SCREW, 44969.582207
Z_BS_SCREW_1, 370651.197798
Z_BS_NUT, 418397.525680
CLPG_SLV, 159330.444699
COOLANT_DISTRIBUTOR_TEN, 1607381.479349
TURRET_10ST, 9025139.973649
CAP_PSTN_RING, 187575.015978
COUPLING_FIX, 1265607.631229
COUPLING_ROT, 653280.251153
RING_LOCK, 7462.038292
CAP_CYL, 568074.046078
PISTON_DUMMY_2, 21149.880319
PISTON_DUMMY_3, 14396.470306
PISTON_DUMMY_4, 21382.768477
PISTON_DUMMY_2_1, 21208.153381
PISTON_DUMMY_3_1, 14269.191695
PISTON_DUMMY_4_1, 21578.032758
NUT_LOCK_NUT, 65198.227825
PISTON_DUMMY_1, 733323.621120
INDEX_SHAFT, 4070700.963703
INDEX_SHAFT_1, 839653.773348
INDEX_SHAFT_2, 235065.757632
BUSH_FRONT_1, 136653.730770
BUSH_REAR_2_2, 41351.273062
BUSH_FRONT_1_1, 136659.676896
BUSH_REAR_2_3, 40895.863808
GEAR_INDEX, 1366309.848588
RETAINER_GEAR, 117493.914893
RING_LOCK_1, 12188.350846
RING_LOCK_1_1, 11839.972650
SUPPORT_GEAR_BOX, 3052821.346008
GEAR, 517614.942867
GEAR_SHAFT, 117599.599109
GEAR_BOX, 1240447.104755
INDEX_MOTOR_SOLID, 2140528.729295
PLATE, 637149.170444
PILOT_BUSH, 305861.918714
CYLINDER_ADAPTER, 714378.605950
DRAW_BAR, 942834.383467
ADJUST_NUT, 233517.626196
CYLINDER, 937367.289062
PISTON_SLEEVE, 621770.939113
PISTON, 663469.216431
CYLINDER_CASE, 726365.915793
DISTRIBUTER, 501463.295711
DISTANCE_STAND, 163429.453155
DOG_RING, 46362.931517
DUBRIN_ADAPTER, 202932.754568
RTRY_JOINT_BASE, 109119.523716
RTRY_JOINT, 274033.577806
CHUCK, 2949272.126916
CHUCK_1, 66636.712751
CHUCK_3, 744141.851000
CHUCK_2, 349481.824454
CHUCK_5, 73505.712311
CHUCK_4, 132947.211761
X_BS_SCREW, 409069.790661
X_BS_NUT, 366329.008103
HOUSING_X_MOTOR, 883159.025792
HOUSING_X_BRG, 385371.872157
BEARING_CAP_X, 95593.093625
